addressString
"**, Kelowna, **"
"**, Revelstoke, **"
"*, Abbotsford, *"
"*, Vernon,"
"1 Kingsway (Entrance off East 8th), Vancouver"
"1 Kingsway, Vancouver"
"101-45951 Trethewey Ave, Chilliwack"
"10100 S Arm Pl, Richmond"
"10100 South Arm Place, Richmond"
"103 Hastings Street E, Vancouver"
"1044 St. Georges Avenue, North Vancouver"
"1044 St. Georges Avenue, North Vancouver"
"10453 Whalley Blvd, Surrey"
"10453 Whalley Blvd., Surrey"
"1056 Comox St, Vancouver"
"1056 Comox St, Vancouver"
"1060 Howe Street, Vancouver"
"1060 Howe Street, Vancouver"
"10607 King George Blvd., Surrey"
"10635 King George Blvd, Surrey"
"10635 King George Boulevard, Surrey"
"10666 City Park Way, Surrey"
"10667 135A St, Surrey"
"10667 135A Street, Surrey"
"10667 135A Street, Surrey"
"1069 Gordon Drive, Kelowna"
"10731 City Parkway, Surrey"
"10776 King George Blvd, Surrey"
"108 East Hastings Street, Vancouver"
"108 East Hastings Street, Vancouver"
"1080 3rd Ave West, Prince Rupert"
"1081 Canada Ave, Duncan"
"1083 Richter Street, Kelowna"
"11 W 10th Ave, Vancouver"
"11 W. 10th Ave., Vancouver"
"11 West 10th Avenue, Vancouver"
"1138 Burrard St., Vancouver"
"1138 Burrard Street, Vancouver"
"1138 Burrard Street, Vancouver"
"1140 River Street, Kamloops"
"1151 2nd Avenue, Prince George"
"11838 88 Avenue, Delta"
"11838 88th Avenue, Delta"
"1188 6th Ave, Prince George"
"119 East Cordova St, Vancouver"
"12040 Horseshoe Way, Richmond"
"12040 Horseshoe Way, Richmond"
"1206 8th Avenue, New Westminster"
"1221 Cedar Street, Campbell River"
"124 Dunlevy Ave., Vancouver"
"1240 Yates St, Victoria"
"1240 Yates Street, Victoria"
"1280 Seymour Street, Vancouver"
"1280 Seymour Street, Vancouver"
"1300 Pine Avenue, Trail"
"1302 Seymour St, Vancouver"
"1302 Seymour St., Vancouver"
"1302 Seymour Street , Vancouver"
"1302 Seymour Street, Vancouver"
"131 Dunlevy Ave, Vancouver"
"131 Dunlevy Avenue, Vancouver"
"13327 100A Avenue, Surrey"
"13327 100A ave, Surrey"
"1342-C Shoppers Row, Campbell River"
"13474 96 Ave, Surrey"
"13474 96 Avenue, Surrey"
"13539 King George Blvd, Surrey"
"13545 King George Blvd, Surrey"
"140 Quebec St, Prince George"
"140 Quebec Street, Prince George"
"1401 102 Avenue , Dawson Creek"
"1401 Hornby Street, Vancouver"
"1401 Hornby Street, Vancouver"
"141 E. Hastings St., Vancouver"
"141 East Hastings St, Vancouver"
"141 East Hastings Street, Vancouver"
"1417 Cranbrook St N, Cranbrook"
"142 Tranquille Road, Kamloops"
"14337/14347 108 Avenue, Surrey"
"144 George St, Prince George"
"1443 W 8th Ave, Vancouver"
"1443 W. 8th Ave., Vancouver"
"1450 Elford Street, Victoria"
"1450 Elford Street, Victoria"
"146 Carson Avenue, Quesnel"
"14600 North Bluff Road, White Rock"
"14601 20 Ave, Surrey"
"14601 20th Avenue, Surrey"
"14716 104 Avenue, Surrey"
"14716 104th Avenue, Surrey"
"15 Hastings Street West, Vancouver"
"1611 Quadra Street, Victoria"
"1611 Quadra Street, Victoria"
"1660 Columbia Avenue, Castlegar"
"1660 Columbia Avenue, Castlegar, V1N1H9"
"1660 East Hastings Street, Vancouver"
"1660 East Hastings Street, Vancouver"
"1661 McCallum Road, Abbotsford"
"167 Douglas Avenue, Fort St. James"
"1706 Main St., Penticton"
"1726 E. Hastings St., Vancouver"
"1726 East Hastings Street, Vancouver"
"1726 East Hastings, Vancouver"
"1738 East Hastings Street, Vancouver"
"1738 East Hastings Street, Vancouver"
"1755 Coldwater Avenue, Merritt"
"17752 Colebrook Road, Surrey"
"17910 Colebrook Road, Surrey"
"181 Victoria Street W, Kamloops"
"1821 Sumas Way, Abbotsford"
"1821 Sumas Way, Abbotsford"
"19 Nicol Street, Nanaimo"
"1906 15th Avenue West, Vancouver"
"201 Central Street, Vancouver"
"201 Central Street, Vancouver"
"2039 Riverside Ave, Trail"
"205 East Hastings, Vancouver"
"2088 Yukon Street, Vancouver"
"2088 Yukon Street, Vancouver"
"2117 Vancouver Street, Victoria"
"22155 Lougheed Highway, Maple Ridge"
"22155 Lougheed Highway, Maple Ridge"
"22188 Lougheed Highway, Maple Ridge"
"22188 Lougheed Highway, Maple Ridge"
"2294 Douglas Road, Burnaby"
"2294 Douglas Road, Burnaby"
"2307 43 Street, Vernon"
"231 Regina Ave, Saanich"
"231 Regina Street, Victoria"
"2317 Dowler Place, Victoria"
"2317 McKenzie Road, Abbotsford"
"2320 78th Ave, Grand Forks"
"2425 Oxford St, Vancouver"
"2425 Oxford St., Vancouver"
"2425 Oxford Street, Vancouver"
"245 St Paul St, Kamloops"
"245 St Paul Street, Kamloops"
"2490 W. 37th Ave., Vancouver"
"2490 West 37th Ave, Vancouver"
"2506 37th Street, Vernon"
"251 Leon Avenue, Kelowna"
"2515 Bartley Road, West Kelowna"
"2579 Lewis Street, Duncan"
"259 Victoria Street West, Kamloops"
"261 Hastings St E, Vancovuer"
"2616 Ware Street, Abbotsford"
"2616 Ware Street, Abbotsford"
"261B East Hastings Street, Vancouver"
"265 East Hastings Street, Vancouver"
"265 Hastings Street E, Vancouver"
"268 Fulford-Ganges Road, Salt Spring Island"
"27 W. Hastings St., Vancouver"
"27 West Hastings Street, Vancouver"
"27 West hastings Street, Vancouver"
"2702 Nicola Ave, Merritt"
"271 Victoria Street West, Kamloops"
"28 6th St, New Westminster"
"28- Sixth St.  , New Westminster"
"2812 Hall Street, Terrace"
"2822 Tetrault Street, Terrace"
"2884 Gladys Ave, Abbotsford"
"2884 Gladys Avenue, Abbotsford"
"2915 Douglas Street, Victoria"
"2915 Douglas Street, Victoria"
"301 Machleary Street, Nanaimo"
"3030 Gordon Ave, Coquitlam"
"3030 Gordon Avenue, Coquitlam"
"3130 3rd Avenue, Port Alberni"
"32 Elliot Street, New Westminster"
"32 Elliot Street, New Westminster"
"320 Alexander St., Vancouver"
"320 Alexander Street, Vancouver"
"320 Alexander Street, Vancouver"
"325 Main Street, Vancouver"
"325 Main Street, Vancouver"
"32646 Logan Avenue, Mission"
"32646 Logan Avenue, Mission"
"329 Powell Street, Vancouver"
"329 Powell Street, Vancouver"
"330 Alexander Street, Vancouver"
"333 E.16th Avenue, Vancouver"
"3360 Fraser St, Vancouver"
"3360 Fraser St., Vancouver"
"33933 Gladys Ave, Abbotsford"
"340 Alexander Street, Vancouver"
"3403 27 Avenue, Vernon"
"34081 Gladys Avenue, Abbotsford"
"34081 Gladys Avenue, Abbotsford"
"341 Fraser Avenue Northwest, Salmon Arm"
"342 Alexander St, Vancouver"
"342 Alexander Street, Vancouver"
"34520 Lonzo Road, Abbotsford"
"34520 Lonzo Road, Abbotsford"
"34561 Delair Rd., Abbotsford"
"34561 Delair Road, Abbotsford, VS2 5Y1"
"346 Alexander Street, Vancouver"
"346 Alexander Street, Vancouver"
"356 East Hastings Street, Vancouver"
"356 East Hastings, Vancouver"
"375 E Pender St, Vancouver"
"375 E. Pender St., Vancouver"
"37871 Third Avenue, Squamish"
"384 Main St., Vancouver"
"390 Main St, Vancouver"
"3939 8th Avenue, Port Alberni"
"3978 8th Avenue, Port Alberni"
"398 Powell Street, Vancouver"
"398 Powell, Vancouver"
"402 East Columbia Street, New Westminster"
"402 Warren Avenue East, Penticton"
"404 Alexander St, Vancouver"
"404 Alexander Street, Vancouver"
"412 East Cordova Street, Vancouver"
"412 East Cordova Street, Vancouver"
"425 Leon Ave, Kelowna"
"4444 Lakelse Avenue, Terrace"
"450 E. Hastings St., Vancouver"
"450 East Hastings St, Vancouver"
"45746 Yale Road, Chilliwack"
"45746 Yale Road, Chilliwack"
"45748 Yale Road, Chilliwack"
"45845 Wellington Ave, Chilliwack"
"45845 Wellington Avenue, Chilliwack"
"46 13th Avenue South, Cranbrook"
"46130 Margaret Avenue, Chilliwack"
"46130 Margaret Avenue, Chilliwack"
"46130 Margret Avenue, Chilliwack"
"467 Alexander Street, Vancouver"
"467 Alexander Street, Vancouver"
"4746 Joyce Ave, Powell River"
"480 City Centre, Kitimat"
"4903 48th Avenue, General Delivery, Fort Nelson"
"4960 48th Avenue, Delta"
"4960 48th Avenue, Delta"
"502 Columbia Street (access to Shelter is from Front Street), New Westminster"
"502 Columbia Street, New Westminster"
"520 Prideaux Street, Nanaimo"
"525  Johnson Street, Victoria"
"525 Johnson Street, Victoria"
"525 Johnson Street, Victoria"
"5301 South Access Road, Chetwynd"
"5337 180 Street, Surrey"
"535 Ellice Street, Victoria"
"535 Ellice Street, Victoria"
"55 Victoria Road, Nanaimo"
"555 Homer St., Vancouver"
"555 Homer Street, Vancouver"
"555 Homer Street, Vancouver"
"555B South Cedar Avenue, 100 Mile House"
"5653 Wharf Ave, Sechelt"
"5653 Wharf Avenue, Sechelt"
"5787 Langley Bypass, Langley"
"5787 Langley Bypass, Langley"
"595 Townsite Rd, Nanaimo"
"600 Kingston Avenue, Kamloops"
"601 East Hastings Street, Vancouver"
"609 Helmcken Street, Vancouver"
"609 Helmcken Street, Vancouver"
"616 Cordova Street East, Vancouver"
"616 E. Cordova St., Vancouver"
"616 East Cordova Street, Vancouver"
"631 1st Avenue, Ladysmith"
"632 Pidcock Avenue, Courtenay"
"650 Old Hope Princeton Highway, Hope"
"650 Old Hope Princeton Way, Hope"
"650 Old Hope Princeton, Hope"
"6553 Portsmouth Road, Nanaimo"
"6595 King George Blvd, Surrey"
"6595 King George Boulevard, Surrey"
"6750 West Coast Road, Sooke"
"682 Gibsons Way, Gibsons"
"685 Cliff Avenue, Courtenay"
"690 Evergreen Road, Campbell River"
"701 Ward Street , Nelson"
"702 Nicol Street, Nanaimo"
"705 2nd St West, North Vancouver"
"705 2nd Street West, North Vancouver"
"705 2nd Street, North Vancouver"
"705 West 2nd Street, North Vancouver"
"707 Powell Street, Vancouver"
"707 Powell Street, Vancouver"
"7135 Walker Avenue, Burnaby"
"7135 Walker Avenue, Burnaby"
