"sequenceNumber","resultNumber","yourId","fullAddress","intersectionName","score","matchPrecision","precisionPoints","faults","siteName","unitDesignator","unitNumber","unitNumberSuffix","civicNumber","civicNumberSuffix","streetName","streetType","isStreetTypePrefix","streetDirection","isStreetDirectionPrefix","streetQualifier","localityName","localityType","electoralArea","provinceCode","location","locationPositionalAccuracy","locationDescriptor","siteID","blockID","intersectionID","fullSiteDescriptor","accessNotes","siteStatus","siteRetireDate","changeDate","isOfficial","degree","executionTime","sid"
1,1,,"1000 Burrard St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1000",,"Burrard","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209208 478002)","high","parcelPoint","c116c81c-0f35-4976-8619-3ff580580ba6",475713,,,"""","active","9999-12-31","2025-02-07","true",,59.355,1143135
2,1,,"1014 Homer St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1014",,"Homer","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209674 477652)","high","parcelPoint","14dee771-d164-44cc-ba3a-faef7d1ccd47",106381,,,"""","active","9999-12-31","2025-02-07","true",,24.265,4062562
3,1,,"1016 Alberni St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1016",,"Alberni","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209492 478445)","high","parcelPoint","dc55b394-63e9-432d-a6bb-7b73dee2f350",106642,,,"""","active","9999-12-31","2025-02-07","true",,27.951,1553052
4,1,,"1018 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1018",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209464 477864)","high","parcelPoint","426e068a-10a5-4deb-9670-75a8f1fe4978",111568,,,"""","active","9999-12-31","2025-02-07","true",,62.693,4462071
5,1,,"1040 W Georgia St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1040",,"Georgia","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1209479 478537)","high","parcelPoint","1f77dd05-4f44-4912-9e50-c5906d7e31ef",106945,,,"""","active","9999-12-31","2025-02-07","true",,95.82,4469215
6,1,,"Main St, Van Anda, BC",,57,"STREET",78,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, STREET_NAME.spelledWrong:2, STREET_DIRECTION.notMatched:2, STREET_DIRECTION.notPrefix:0, STREET_TYPE.notMatched:3, CIVIC_NUMBER.notInAnyBlock:1, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,"Main","St","false",,"false",,"Van Anda","Community","qRD Electoral Area D","BC","SRID=3005;POINT(1103943.71 527914.13)","coarse","streetPoint",,,,,,"active",,,"true",,195.509,
7,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,24.187,
8,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,58.893,
9,1,,"111 E Eighth Ave, New Westminster, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"111",,"Eighth","Ave","false","E","true",,"New Westminster","City",,"BC","SRID=3005;POINT(1225378 472541)","high","parcelPoint","c9f3b583-ad39-42fb-9dce-1873e93b5652",1213,,,"""","active","9999-12-31","2025-02-07","true",,81.604,3199188
10,1,,"1133 W Hastings St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1133",,"Hastings","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1209599 478949)","high","parcelPoint","89b3c5f1-b5ad-452d-bc85-061535bb169c",102032,,,"""","active","9999-12-31","2025-02-07","true",,29.168,4461864
11,1,,"1220 Homer St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1220",,"Homer","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209459 477418)","high","parcelPoint","1def84ed-16c2-4d0e-a0d6-fbf9802bf836",106890,,,"""","active","9999-12-31","2025-02-07","true",,17.78,3140439
12,1,,"1221 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1221",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209200 477668)","high","parcelPoint","7882ade6-c48c-4d70-9faf-c5dda4a157e3",106396,,,"""","active","9999-12-31","2025-02-07","true",,66.935,4464748
13,1,,"1225 Robson St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1225",,"Robson","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209130 478706)","high","parcelPoint","0373080e-616a-4b9f-8d79-783f51d4694a",2523206,,,"""","active","9999-12-31","2025-02-07","true",,69.158,3539802
14,1,,"1250 Hornby St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1250",,"Hornby","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209048 477712)","high","parcelPoint","d82e5ac1-ad3b-4f17-b461-8437652882a3",106011,,,"""","active","9999-12-31","2025-02-07","true",,27.017,1515550
15,1,,"1285 W Pender St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1285",,"Pender","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1209295 478999)","high","parcelPoint","dddac4cb-29b8-49c5-af87-1bc7b193534b",103012,,,"""","active","9999-12-31","2025-02-07","true",,218.899,4276177
16,1,,"1379 Howe St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1379",,"Howe","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1208954 477548)","high","parcelPoint","5081e6d2-6cdf-4fb9-a725-5e643097c74e",397584,,,"""","active","9999-12-31","2025-02-07","true",,21.1,4041883
17,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,7.779,
18,1,,"1535 W 3rd Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1535",,"3rd","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208299 476731)","high","parcelPoint","fb56559b-2188-48fd-9b86-236de1adb194",2463255,,,"""","active","9999-12-31","2025-02-07","true",,127.054,3149927
19,1,,"1564 W 6th Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1564",,"6th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208286 476388)","high","parcelPoint","12531f2c-26f3-4909-9c9c-941c12bd0adb",2478969,,,"""","active","9999-12-31","2025-02-07","true",,82.589,2162985
20,1,,"1666 W 75th Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1666",,"75th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208085 469665)","high","parcelPoint","16cdc39a-4554-40f8-a4af-3476a68b6f06",111610,,,"""","active","9999-12-31","2025-02-07","true",,40.84,2177605
21,1,,"1684 W 2nd Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1684",,"2nd","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208080 476770)","high","parcelPoint","05bda3e9-eb5c-456a-903c-6ce850b00fbf",104913,,,"""","active","9999-12-31","2025-02-07","true",,79.287,4468535
22,1,,"1706 Trans-Canada Hwy, Kanaka Bar, BC",,82,"BLOCK",99,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_NAME.isHighwayAlias:0, STREET_DIRECTION.notMatchedInHighway:0, STREET_DIRECTION.notPrefix:0, STREET_TYPE.notMatched:3, STREET_TYPE.notSuffix:0, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,"1706",,"Trans-Canada","Hwy","false",,"false",,"Kanaka Bar","Locality","TNRD Electoral Area I (Blue Sky Country)","BC","SRID=3005;POINT(1315797.417 580651.483)","low","accessPoint",,366675,,,,"active",,,"true",,104.288,
23,1,,"175 E Broadway, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"175",,"Broadway",,"false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211110 476191)","high","parcelPoint","fb6f4c3b-3e24-4902-ac4a-6e5a99d28ed8",105591,,,"""","active","9999-12-31","2025-02-07","true",,35.179,4462691
24,1,,"177 Robson St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"177",,"Robson","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210111 477836)","high","parcelPoint","e90f88ef-d49c-4867-84e5-5aa5c2ecde8e",473834,,,"""","active","9999-12-31","2025-02-07","true",,69.56,3911671
